ID:Integer; DESCRIPCION:String:100
1;"Uso de teléfono móvil"
2;"Uso de manos libres"
3;"Uso de GPS"
4;"Uso de radio, DVD, video, auriculares..."
5;"Fumar"
6;"Actividades simultáneas a la conducción (comer, beber, buscar objetos...)"
7;"Interacción con los ocupantes"
8;"Presencia de accidente anterior"
9;"Mirar el entorno (paisaje, publicidad, señales...)"
10;"Estar pensativo o abstraido"
11;"Sueño, cansancio/fatiga"
12;"Enfermedad súbita/indisposición"
13;"No se aprecia ningún factor"
14;"Se desconoce"
