ID:Integer:set:pk=true; DESCRIPCION:String:set:size=100
1;"Saliendo entre vehículos aparcados"
2;"En la calzada delante de la parada del bus"
3;"Cruzando la calzada justo antes de una intersección"
4;"Cruzando la calzada justo después de una intersección"
5;"Cruzando la calzada en intersección"
6;"Cruzando la calzada en sección"
7;"Caminando o parado en la acera o refugio"
8;"Caminando por la calzada o arcén"
9;"Parado en la calzada o arcén"
10;"Trabajando en la calzada o arcén"
11;"Reparando el vehículo"
12;"Servicio de Auxilio en carretera"
13;"Precipitación a la vía (puente, edificio,...)"
14;"Irrumpe en la calzada corriendo/jugando"
15;"Auxiliando accidente anterior"
77;"Se desconoce"
