ID:Integer:set:pk=true; DESCRIPCION:String:set:size=100
1;"Transporte profesional de mercancías"
2;"Taxi"
3;"Bus urbano"
4;"Bus escolar"
5;"Bus en transporte de menores"
6;"Bus de línea regular"
7;"Bus de línea discrecional"
8;"Servicio de limpieza o recogida de basura"
9;"Servicio de mantenimiento viario"
10;"Bomberos, Policía o Ambulancia"
11;"In itinere"
12;"En misión"
13;"Ocio y entretenimiento"
14;"Actividad deportiva particular"
15;"Estudiante hacia centro de estudios"
16;"Transporte de menores al colegio"
17;"Ida/Regreso de puentes, festivos, vacaciones"
18;"En prácticas de autoescuela"
19;"Servicio de Auxilio en Carretera"
20;"Otras actividades"
77;"Se desconoce"
