ID:Integer:set:pk=true;DESCRIPCION:String:set:size=100
1;"Turismo"
2;"Furgoneta"
3;"Todo terreno"
4;"Bicicleta"
5;"Ciclomotor"
6;"Motocicleta hasta 125 cc"
7;"Motocicleta > 125 cc"
8;"Quad ligero"
9;"Quad no ligero"
10;"Cuadriciclo ligero"
11;"Cuadriciclo no ligero"
12;"Autocaravana"
13;"Maquinaria de obras y servicios"
14;"Maquinaría agrícola"
15;"Microbús<=17ocup."
16;"Autobús"
17;"Autobús articulado"
18;"Tranvía"
19;"Camión rígido"
20;"Tractocamión (cabeza tractora)"
23;"Tren/Metro"
25;"Otros vehículos sin motor"
26;"Otros vehículos con motor"
21;"Vehículo articulado"
22;"Remolque"
24;"Semirremolque"
27;"Caravana"
98;"Sin especificar"
30;"Ciclo"
