PROV_INE:Integer;MUN_INE:Integer;MUNICIPIO:String:set:size=100
46;46001;"Ademuz"
46;46002;"Ador"
46;46004;"Agullent"
46;46042;"Aielo de Malferit"
46;46043;"Aielo de Rugat"
46;46005;"Alaquàs"
46;46006;"Albaida"
46;46007;"Albal"
46;46008;"Albalat de la Ribera"
46;46009;"Albalat dels Sorells"
46;46010;"Albalat dels Tarongers"
46;46011;"Alberic"
46;46012;"Alborache"
46;46013;"Alboraia/Alboraya"
46;46013;"Alboraya"
46;46013;"Alboraia"
46;46014;"Albuixech"
46;46016;"Alcàntera de Xúquer"
46;46015;"Alcàsser"
46;46018;"Alcublas"
46;46020;"Alcúdia de Crespins, l'"
46;46020;"Alcúdia de Crespins (l')"
46;46019;"Alcúdia, l'"
46;46019;"Alcúdia (l')"
46;46021;"Aldaia"
46;46022;"Alfafar"
46;46024;"Alfara de la Baronia"
46;46025;"Alfara del Patriarca"
46;46026;"Alfarp"
46;46027;"Alfarrasí"
46;46023;"Alfauir"
46;46028;"Algar de Palancia"
46;46029;"Algemesí"
46;46030;"Algímia d'Alfara"
46;46030;"Algimia de Alfara"
46;46031;"Alginet"
46;46032;"Almàssera"
46;46033;"Almiserà"
46;46034;"Almoines"
46;46035;"Almussafes"
46;46036;"Alpuente"
46;46037;"Alqueria de la Comtessa, l'"
46;46037;"Alqueria de la Comtessa (l')"
46;46017;"Alzira"
46;46038;"Andilla"
46;46039;"Anna"
46;46040;"Antella"
46;46041;"Aras de los Olmos"
46;46003;"Atzeneta d'Albaida"
46;46044;"Ayora"
46;46046;"Barx"
46;46045;"Barxeta"
46;46047;"Bèlgida"
46;46048;"Bellreguard"
46;46049;"Bellús"
46;46050;"Benagéber"
46;46051;"Benaguasil"
46;46052;"Benavites"
46;46053;"Beneixida"
46;46054;"Benetússer"
46;46055;"Beniarjó"
46;46056;"Beniatjar"
46;46057;"Benicolet"
46;46904;"Benicull de Xúquer"
46;46060;"Benifaió"
46;46059;"Benifairó de la Valldigna"
46;46058;"Benifairó de les Valls"
46;46061;"Beniflá"
46;46062;"Benigànim"
46;46063;"Benimodo"
46;46064;"Benimuslem"
46;46065;"Beniparrell"
46;46066;"Benirredrà"
46;46067;"Benissanó"
46;46068;"Benissoda"
46;46069;"Benissuera"
46;46070;"Bétera"
46;46071;"Bicorp"
46;46072;"Bocairent"
46;46073;"Bolbaite"
46;46074;"Bonrepòs i Mirambell"
46;46075;"Bufali"
46;46076;"Bugarra"
46;46077;"Buñol"
46;46078;"Burjassot"
46;46079;"Calles"
46;46080;"Camporrobles"
46;46081;"Canals"
46;46082;"Canet d'En Berenguer"
46;46083;"Carcaixent"
46;46084;"Càrcer"
46;46085;"Carlet"
46;46086;"Carrícola"
46;46087;"Casas Altas"
46;46088;"Casas Bajas"
46;46089;"Casinos"
46;46090;"Castelló de Rugat"
46;46091;"Castellonet de la Conquesta"
46;46092;"Castielfabib"
46;46093;"Catadau"
46;46094;"Catarroja"
46;46095;"Caudete de las Fuentes"
46;46096;"Cerdà"
46;46107;"Chella"
46;46106;"Chelva"
46;46108;"Chera"
46;46109;"Cheste"
46;46111;"Chiva"
46;46112;"Chulilla"
46;46097;"Cofrentes"
46;46098;"Corbera"
46;46099;"Cortes de Pallás"
46;46100;"Cotes"
46;46105;"Cullera"
46;46113;"Daimús"
46;46114;"Domeño"
46;46115;"Dos Aguas"
46;46116;"Eliana, l'"
46;46116;"Eliana (l')"
46;46117;"Emperador"
46;46118;"Enguera"
46;46119;"Ènova, l'"
46;46119;"Ènova (l')"
46;46120;"Estivella"
46;46121;"Estubeny"
46;46122;"Faura"
46;46123;"Favara"
46;46126;"Foios"
46;46128;"Font de la Figuera, la"
46;46128;"Font de la Figuera (la)"
46;46127;"Font d'En Carròs, la"
46;46127;"Font d'En Carròs (la)"
46;46124;"Fontanars dels Alforins"
46;46125;"Fortaleny"
46;46129;"Fuenterrobles"
46;46131;"Gandia"
46;46902;"Gátova"
46;46130;"Gavarda"
46;46132;"Genovés, el"
46;46132;"Genovés (el)"
46;46132;"Genovés"
46;46133;"Gestalgar"
46;46134;"Gilet"
46;46135;"Godella"
46;46136;"Godelleta"
46;46137;"Granja de la Costera, la"
46;46137;"Granja de la Costera (la)"
46;46138;"Guadasséquies"
46;46139;"Guadassuar"
46;46140;"Guardamar de la Safor"
46;46141;"Higueruelas"
46;46142;"Jalance"
46;46144;"Jarafuel"
46;46154;"Llanera de Ranes"
46;46155;"Llaurí"
46;46147;"Llíria"
46;46152;"Llocnou de la Corona"
46;46153;"Llocnou de Sant Jeroni"
46;46151;"Llocnou d'En Fenollet"
46;46156;"Llombai"
46;46157;"Llosa de Ranes, la"
46;46157;"Llosa de Ranes (la)"
46;46150;"Llutxent"
46;46148;"Loriguilla"
46;46149;"Losa del Obispo"
46;46158;"Macastre"
46;46159;"Manises"
46;46160;"Manuel"
46;46161;"Marines"
46;46162;"Massalavés"
46;46163;"Massalfassar"
46;46164;"Massamagrell"
46;46165;"Massanassa"
46;46166;"Meliana"
46;46167;"Millares"
46;46168;"Miramar"
46;46169;"Mislata"
46;46170;"Mogente/Moixent"
46;46170;"Mogente"
46;46170;"Moixent"
46;46171;"Moncada"
46;46173;"Montaverner"
46;46174;"Montesa"
46;46175;"Montitxelvo/Montichelvo"
46;46175;"Montitxelvo"
46;46175;"Montichelvo"
46;46176;"Montroi/Montroy"
46;46176;"Montroi"
46;46176;"Montroy"
46;46172;"Montserrat"
46;46177;"Museros"
46;46178;"Nàquera/Náquera"
46;46178;"Nàquera"
46;46178;"Náquera"
46;46179;"Navarrés"
46;46180;"Novelé/Novetlè"
46;46180;"Novelé"
46;46180;"Novetlè"
46;46181;"Oliva"
46;46183;"Olleria, l'"
46;46183;"Olleria (l')"
46;46182;"Olocau"
46;46184;"Ontinyent"
46;46185;"Otos"
46;46186;"Paiporta"
46;46187;"Palma de Gandía"
46;46188;"Palmera"
46;46189;"Palomar, el"
