PROV_INE:Integer;PROVINCIA:String:set:size=60
03;"ALICANTE"
03;"ALACANT"
03;"Alicante/Alacant"
03;"Alicante"
03;"Alacant"
12;"CASTELLÓN/CASTELLÓ"
12;"CASTELLÓN"
12;"CASTELLÓ"
12;"Castellón/Castelló"
12;"Castellón"
12;"Castelló"
12;"CASTELLÓN DE LA PLANA/CASTELLÓ DE LA PLANA"
12;"CASTELLÓN DE LA PLANA"
12;"CASTELLÓ DE LA PLANA"
12;"Castellón de la Plana/Castelló de la Plana"
12;"Castellón de la Plana"
12;"Castelló de la Plana"
46;"VALENCIA/VALÈNCIA"
46;"VALENCIA"
46;"VALÈNCIA"
46;"Valencia/València"
46;"Valencia"
46;"València"
